source	lines	public_declarations	direct_test_importers
compiler/std/testing/temporary.dyn	23	4	tests/assert-message,tests/environment-contracts,tests/sdk-boundaries,tests/sdk-property,tests/sdk-temporary,tests/sdk-tools,tests/sdk-watch,tests/stdlib-app,tests/stdlib-dynlib,tests/stdlib-net-event,tests/stdlib-profile,tests/stdlib-testing,tests/stdlib-tls
compiler/std/testing/testing.dyn	56	18	tests/assert-message,tests/environment-contracts,tests/sdk-boundaries,tests/sdk-property,tests/sdk-temporary,tests/sdk-tools,tests/sdk-watch,tests/stdlib-app,tests/stdlib-dynlib,tests/stdlib-net-event,tests/stdlib-profile,tests/stdlib-testing,tests/stdlib-tls
compiler/std/text/regex/regex.dyn	431	11	tests/sdk-depth,tests/sdk-hardening,tests/stdlib-depth
compiler/std/text/scanner/scanner.dyn	47	7	tests/sdk-layout
compiler/std/text/template/template.dyn	98	8	tests/sdk-template
compiler/std/thread/thread.dyn	33	5	tests/release-concurrency,tests/sdk-http-workers,tests/stdlib-thread,tests/thread-aarch64
compiler/std/time/time.dyn	118	22	tests/sdk-system,tests/stdlib-runtime,tests/stdlib-str
compiler/std/unicode/text/graphemes.dyn	43	4	tests/sdk-storage-contracts,tests/sdk-unicode-text
compiler/std/unicode/text/tables_generated.dyn	2538	0	tests/sdk-storage-contracts,tests/sdk-unicode-text
compiler/std/unicode/text/text.dyn	154	12	tests/sdk-storage-contracts,tests/sdk-unicode-text
compiler/std/unicode/utf16/utf16.dyn	54	6	tests/sdk-layout
compiler/std/unicode/utf8/utf8.dyn	108	9	tests/sdk-foundation,tests/stdlib-str,tests/stdlib-text-extra
compiler/vendor/archive/archive.dyn	56	15	
compiler/vendor/box2d/box2d.dyn	47	21	
compiler/vendor/cgltf/cgltf.dyn	76	34	
compiler/vendor/curl/curl.dyn	52	4	tests/vendor-packages/curl
compiler/vendor/enet/enet.dyn	68	24	
compiler/vendor/lua/lua.dyn	57	11	
compiler/vendor/lz4/lz4.dyn	28	5	
compiler/vendor/microui/microui.dyn	61	21	
compiler/vendor/miniaudio/miniaudio.dyn	80	17	
compiler/vendor/opengl/opengl.dyn	118	15	
compiler/vendor/openssl/crypto/crypto.dyn	136	11	
compiler/vendor/openssl/crypto/raw_generated.dyn	28	0	
compiler/vendor/openssl/tls/raw_generated.dyn	31	0	
compiler/vendor/openssl/tls/tls.dyn	255	27	
compiler/vendor/pcre2/pcre2.dyn	44	15	
compiler/vendor/sdl3/gl.dyn	25	10	tests/sdk-sdl3,tests/vendor-packages/abi
compiler/vendor/sdl3/image/image.dyn	21	2	tests/vendor-packages/abi
compiler/vendor/sdl3/microui/microui.dyn	12	2	
compiler/vendor/sdl3/mixer/mixer.dyn	56	17	
compiler/vendor/sdl3/raw_generated.dyn	36	0	tests/sdk-sdl3,tests/vendor-packages/abi
compiler/vendor/sdl3/sdl3.dyn	164	83	tests/sdk-sdl3,tests/vendor-packages/abi
compiler/vendor/sdl3/surface.dyn	20	9	tests/sdk-sdl3,tests/vendor-packages/abi
compiler/vendor/sdl3/ttf/ttf.dyn	39	9	tests/vendor-packages/abi
compiler/vendor/sqlite/raw_generated.dyn	26	0	tests/lsp-completion,tests/sdk-sqlite
compiler/vendor/sqlite/sqlite.dyn	40	6	tests/lsp-completion,tests/sdk-sqlite
compiler/vendor/sqlite/statement.dyn	127	21	tests/lsp-completion,tests/sdk-sqlite
compiler/vendor/sqlite/transaction.dyn	30	9	tests/lsp-completion,tests/sdk-sqlite
compiler/vendor/stb/image_resize/image_resize.dyn	21	1	
compiler/vendor/stb/rect_pack/rect_pack.dyn	19	3	
compiler/vendor/tree_sitter/raw.dyn	14	0	tests/vendor-packages/abi
compiler/vendor/tree_sitter/tree_sitter.dyn	48	22	tests/vendor-packages/abi
compiler/vendor/vulkan/raw_generated.dyn	1	0	tests/sdk-vulkan
compiler/vendor/vulkan/vulkan.dyn	25	10	tests/sdk-vulkan
compiler/vendor/zstd/raw_generated.dyn	11	0	tests/vendor-import
compiler/vendor/zstd/zstd.dyn	77	15	tests/vendor-import
